TS,PD1,PD2,PD3,PD4,PD5,PD6,Target
1618595297678,0.98,0,0.06,0.48,0,0,1
1618595302682,0.98,0,0.07,0.46,0,0,1
1618595307685,0.99,0,0.07,0.46,0,0,1
1618595312689,0.99,0,0.07,0.46,0,0,1
1618595317692,1,0,0.07,0.46,0,0,1
1618595322696,1,0,0.07,0.44,0,0,1
1618595327699,1.01,0,0.07,0.44,0,0,1
1618595332707,1.01,0,0.07,0.44,0,0,1
1618595337717,1.03,0,0.07,0.43,0,0,1
1618595342721,1.03,0,0.07,0.43,0,0,1
1618595347726,1.03,0,0.08,0.41,0,0,1
1618595352731,1.03,0,0.08,0.41,0,0,1
1618595357735,1.03,0,0.09,0.4,0,0,1
1618595362738,1.06,0,0.09,0.4,0,0,1
1618595367742,1.06,0,0.09,0.39,0,0,1
1618595372745,1.07,0,0.09,0.39,0,0,1
1618595377759,1.07,0,0.1,0.35,0,0,1
1618595382764,1.08,0,0.1,0.35,0,0,1
1618595387773,1.08,0,0.11,0.36,0,0,1
1618595392779,1.09,0,0.11,0.36,0,0,1
1618595397785,1.09,0,0.11,0.34,0,0,1
1618595402788,1.1,0,0.12,0.34,0,0,1
1618595407796,1.1,0,0.12,0.32,0,0,1
1618595412800,1.11,0,0.13,0.32,0,0,1
1618595417804,1.11,0,0.13,0.32,0,0,1
1618595422814,1.12,0,0.14,0.31,0,0,1
1618595427819,1.12,0,0.14,0.31,0,0,1
1618595432835,1.14,0,0.14,0.29,0,0,1
1618595437838,1.14,0,0.14,0.29,0,0,1
1618595442853,1.14,0,0.15,0.26,0,0,1
1618595447861,1.15,0,0.15,0.26,0,0,1
1618595452865,1.15,0,0.15,0.25,0,0,1
1618595457868,1.16,0,0.15,0.25,0,0,1
1618595462872,1.16,0,0.17,0.2,0,0,1
1618595467875,1.17,0,0.17,0.2,0,0,1
1618595472880,1.17,0,0.14,0.21,0,0,1
1618595477884,1.2,0,0.14,0.21,0,0,1
1618595482891,1.2,0,0.14,0.2,0,0,1
1618595487898,1.2,0,0.04,0.2,0,0,1
1618595492901,1.2,0,0.04,0.19,0,0,1
