4776 3
-21.922 8.819 140.206
-19.099 8.683 138.424
-15.405 8.509 136.401
-12.645 7.919 135.486
-9.785 7.392 134.082
-6.671 6.580 133.274
-3.499 5.891 131.337
-0.392 4.970 129.903
1.838 3.775 130.148
5.148 2.594 128.866
7.041 1.389 129.212
9.674 0.321 128.834
12.416 1.340 129.800
14.938 2.291 130.440
17.855 2.215 130.331
20.024 1.544 131.712
22.884 0.829 131.504
25.730 -0.078 132.710
28.470 -0.779 132.821
30.833 -1.259 133.542
33.111 -2.006 135.340
38.511 -2.452 137.938
43.988 -1.674 139.032
46.678 -1.122 140.003
56.007 0.369 147.025
60.564 -3.564 150.765
64.207 -6.324 154.225
77.871 -9.161 160.344
89.191 7.372 170.837
95.174 12.035 168.812
108.100 13.010 172.015
109.741 14.533 172.762
111.754 16.597 172.479
114.060 20.809 172.708
118.404 29.121 170.360
118.084 31.771 169.870
117.172 36.243 167.458
112.186 43.006 165.019
104.502 52.301 162.294
90.558 64.689 164.206
84.294 59.692 -35.922
81.507 57.639 -29.566
79.159 55.703 -24.627
76.690 53.685 -20.283
74.873 51.495 -16.874
72.841 48.968 -13.668
71.503 46.271 -11.049
70.015 43.142 -8.293
69.394 40.143 -5.903
68.716 36.613 -3.595
68.278 33.302 -1.513
68.107 29.563 0.382
67.627 26.055 2.018
68.157 22.297 3.562
68.745 18.551 5.131
69.172 14.754 6.536
69.714 11.590 7.362
68.601 -0.903 11.184
68.802 -5.476 12.238
68.945 -10.069 13.279
70.307 -13.433 14.517
69.839 -16.397 15.475
72.621 -21.826 19.912
74.712 -27.239 24.831
71.014 -35.303 21.842
69.592 -38.972 20.225
68.036 -42.335 19.052
66.458 -45.858 16.868
61.758 -52.670 11.858
50.292 -62.002 0.080
44.485 -64.678 -5.910
37.654 -67.144 -12.907
28.844 -69.147 -22.024
19.398 -70.458 -31.518
22.369 -78.253 -26.820
5.670 -79.218 -44.258
-11.332 -79.943 -61.558
-34.129 -81.745 -83.556
-66.608 -82.327 -114.825
-89.613 -80.749 -136.946
-101.331 -78.213 -147.898
-104.275 -71.327 -145.779
-109.037 -71.340 -152.501
-113.825 -70.332 -157.567
-115.029 -66.808 -156.445
-116.455 -63.900 -156.186
-120.196 -63.378 -161.608
-123.154 -62.425 -165.367
-125.216 -60.913 -167.504
-126.003 -58.204 -165.617
-128.296 -57.135 -169.324
-130.448 -55.822 -171.918
-132.218 -53.651 -172.063
-134.034 -51.421 -171.394
-136.345 -50.507 -174.980
-138.513 -49.601 -177.601
-140.502 -48.817 179.769
-142.392 -48.392 175.919
-144.420 -47.785 172.752
-146.481 -46.839 170.089
-148.565 -45.724 167.675
-150.937 -44.798 164.988
-153.025 -43.885 161.933
-155.099 -43.135 158.392
-157.289 -42.199 154.861
-159.272 -41.457 150.666
-161.720 -40.713 146.374
-163.817 -39.828 142.715
-165.502 -38.873 139.025
-166.491 -37.697 136.048
-167.592 -36.612 132.858
-168.633 -35.670 129.337
-169.871 -36.219 126.233
-170.532 -36.728 123.930
-171.645 -36.489 120.621
-173.407 -34.546 114.531
-173.910 -31.675 109.308
-173.444 -28.825 105.091
-172.931 -26.780 101.434
-171.671 -25.280 97.894
-170.478 -24.128 90.455
-170.086 -23.643 87.120
-170.173 -23.711 83.328
-169.949 -24.085 80.097
-168.566 -24.725 76.784
-169.717 -25.304 73.082
-170.580 -25.804 69.031
-170.589 -26.441 66.043
-171.092 -28.626 59.306
-168.781 -32.977 49.895
161.076 -81.308 -33.336
148.655 -84.939 -45.216
60.352 -86.979 -135.749
14.156 -65.462 168.899
13.451 -62.212 165.843
14.865 -42.001 154.882
15.740 -38.900 152.855
16.348 -36.175 150.548
18.251 -31.434 147.011
20.264 -32.626 144.468
26.825 -38.489 123.408
27.487 -39.091 121.790
27.446 -40.203 119.789
27.764 -36.167 116.416
29.374 -26.189 112.180
32.345 -15.410 110.897
38.042 -1.177 112.076
42.266 10.550 115.761
